Client,Industry,Platform,Content_Type,Content_Topic,Posting_Timestamp,Posting_Day,Posting_Hour,Reach,Ad_Spend,Performance_Score
Client_02,Fashion,Instagram,Infographic,Behind the Scenes,2026-12-16 19:00:00,Wednesday,19,11570,311.98,76
Client_15,E-commerce,YouTube,Infographic,Behind the Scenes,2026-07-31 11:00:00,Friday,11,10888,142.0,60
Client_13,FinTech,YouTube,Infographic,Education,2026-06-30 06:00:00,Tuesday,6,3272,283.87,66
Client_09,Fashion,Instagram,Case Study,Trends,2026-09-05 11:00:00,Saturday,11,9853,83.32,80
Client_10,FinTech,LinkedIn,Blog Post,Promo,2026-12-21 14:00:00,Monday,14,5476,322.47,68
Client_02,Real Estate,Facebook,Infographic,Customer Success,2025-10-19 19:00:00,Sunday,19,3251,282.56,59
Client_03,FinTech,X,Carousel,Education,2025-12-15 23:00:00,Monday,23,10467,383.07,66
Client_11,E-commerce,LinkedIn,Carousel,Trends,2025-05-23 14:00:00,Friday,14,8930,333.82,67
Client_13,SaaS,LinkedIn,Reel,Customer Success,2024-12-08 18:00:00,Sunday,18,8670,297.32,85
Client_10,Health,X,Blog Post,Behind the Scenes,2025-08-28 21:00:00,Thursday,21,14839,360.4,66
Client_14,Health,LinkedIn,Infographic,Behind the Scenes,2024-05-11 08:00:00,Saturday,8,7969,114.77,66
Client_02,E-commerce,Instagram,Carousel,Customer Success,2024-03-07 01:00:00,Thursday,1,10631,317.91,70
Client_03,FinTech,X,Blog Post,Education,2024-06-13 07:00:00,Thursday,7,4720,127.45,67
Client_06,Fashion,Instagram,Reel,Behind the Scenes,2026-09-24 11:00:00,Thursday,11,2039,466.48,85
Client_09,FinTech,LinkedIn,Case Study,Promo,2026-03-21 17:00:00,Saturday,17,14609,80.75,77
Client_09,E-commerce,Instagram,Blog Post,Customer Success,2024-02-12 13:00:00,Monday,13,2961,243.67,73
Client_07,Health,Instagram,Blog Post,Customer Success,2025-04-30 13:00:00,Wednesday,13,6684,363.11,69
Client_12,FinTech,Instagram,Case Study,Behind the Scenes,2025-03-26 05:00:00,Wednesday,5,10047,256.11,82
Client_03,Health,YouTube,Blog Post,Education,2025-07-13 01:00:00,Sunday,1,13296,91.44,64
Client_04,Fashion,Instagram,Reel,Promo,2026-04-22 19:00:00,Wednesday,19,13015,299.02,87
Client_06,Health,Instagram,Reel,Education,2024-11-28 21:00:00,Thursday,21,1734,338.73,82
Client_11,Health,Instagram,Case Study,Trends,2025-02-07 20:00:00,Friday,20,3048,366.71,80
Client_05,SaaS,LinkedIn,Infographic,Trends,2025-06-25 06:00:00,Wednesday,6,8980,217.97,72
Client_02,SaaS,X,Carousel,Behind the Scenes,2024-10-13 09:00:00,Sunday,9,11788,303.65,64
Client_13,Real Estate,LinkedIn,Infographic,Behind the Scenes,2024-08-24 11:00:00,Saturday,11,5713,252.81,63
Client_06,SaaS,LinkedIn,Blog Post,Behind the Scenes,2024-01-07 17:00:00,Sunday,17,11793,352.43,65
Client_03,Health,Facebook,Carousel,Trends,2024-06-28 01:00:00,Friday,1,3173,312.6,60
Client_14,E-commerce,LinkedIn,Case Study,,2024-02-11 11:00:00,Sunday,11,8208,286.59,80
Client_08,Health,Instagram,Case Study,Education,2025-04-25 14:00:00,Friday,14,14855,162.29,80
Client_02,E-commerce,Instagram,Carousel,Behind the Scenes,2024-11-13 21:00:00,Wednesday,21,9482,50.91,72
Client_01,E-commerce,Instagram,Reel,Promo,2026-12-13 03:00:00,Sunday,3,3600,128.34,82
Client_09,SaaS,LinkedIn,Carousel,Education,2024-02-12 08:00:00,Monday,8,13349,102.68,67
Client_14,FinTech,LinkedIn,Blog Post,Trends,2026-10-07 13:00:00,Wednesday,13,14345,252.09,65
Client_12,Fashion,YouTube,Reel,Customer Success,2026-08-08 23:00:00,Saturday,23,13288,325.52,76
Client_03,SaaS,Instagram,Case Study,Customer Success,2026-10-08 12:00:00,Thursday,12,5248,145.89,80
Client_11,SaaS,LinkedIn,Carousel,Customer Success,2026-08-26 15:00:00,Wednesday,15,4673,472.58,66
Client_01,FinTech,YouTube,Infographic,Promo,2026-10-09 12:00:00,Friday,12,3315,53.01,67
Client_07,Fashion,LinkedIn,Infographic,Behind the Scenes,2024-12-21 09:00:00,Saturday,9,5341,397.54,71
Client_13,Health,Facebook,Blog Post,,2025-12-20 06:00:00,Saturday,6,11697,331.34,62
Client_15,Real Estate,LinkedIn,Infographic,Promo,2025-01-21 04:00:00,Tuesday,4,9516,218.1,65
Client_10,Real Estate,Instagram,Carousel,Trends,2026-06-05 07:00:00,Friday,7,8511,,77
Client_05,Health,YouTube,Carousel,Trends,2025-05-22 17:00:00,Thursday,17,5993,332.37,68
Client_05,SaaS,LinkedIn,Infographic,Behind the Scenes,2026-06-04 03:00:00,Thursday,3,2174,223.53,59
Client_14,Fashion,LinkedIn,Carousel,Customer Success,2024-09-20 19:00:00,Friday,19,9588,471.32,69
Client_01,SaaS,LinkedIn,Blog Post,Behind the Scenes,2024-12-23 03:00:00,Monday,3,10078,293.9,68
Client_15,E-commerce,LinkedIn,Reel,Promo,2026-11-10 12:00:00,Tuesday,12,3658,472.84,84
Client_15,SaaS,YouTube,Blog Post,Promo,2024-10-27 08:00:00,Sunday,8,4161,149.22,68
Client_09,SaaS,Instagram,Blog Post,Promo,2024-08-07 20:00:00,Wednesday,20,3564,376.58,70
Client_07,Health,Instagram,Carousel,,2026-02-07 14:00:00,Saturday,14,13543,327.76,68
Client_08,Health,Instagram,Reel,,2025-11-16 08:00:00,Sunday,8,4753,382.73,89
Client_09,Health,YouTube,Carousel,Trends,2025-11-06 16:00:00,Thursday,16,6479,146.6,67
Client_06,Real Estate,Instagram,Case Study,,2024-11-29 14:00:00,Friday,14,9203,349.25,79
Client_12,E-commerce,Facebook,Carousel,Promo,2024-04-17 00:00:00,Wednesday,0,14328,,62
Client_05,Health,LinkedIn,Carousel,Trends,2026-06-29 07:00:00,Monday,7,13958,384.27,68
Client_06,Fashion,Facebook,Carousel,Education,2024-03-25 11:00:00,Monday,11,10431,,66
Client_11,Real Estate,X,Reel,Trends,2024-04-22 07:00:00,Monday,7,2901,450.53,75
Client_02,FinTech,Facebook,Carousel,Promo,2026-12-22 07:00:00,Tuesday,7,4759,87.94,63
Client_04,Fashion,Facebook,Reel,Customer Success,2025-10-04 14:00:00,Saturday,14,11969,413.24,79
Client_03,Fashion,LinkedIn,Infographic,Promo,2024-08-07 02:00:00,Wednesday,2,13596,437.59,69
Client_13,Health,LinkedIn,Case Study,Behind the Scenes,2026-07-05 18:00:00,Sunday,18,5423,417.76,77
Client_07,FinTech,Instagram,Reel,Trends,2024-10-07 16:00:00,Monday,16,5714,280.73,86
Client_09,FinTech,Instagram,Infographic,,2024-01-17 07:00:00,Wednesday,7,4727,247.27,71
Client_05,Real Estate,LinkedIn,Reel,Behind the Scenes,2025-08-05 18:00:00,Tuesday,18,12523,498.32,86
Client_06,FinTech,LinkedIn,Reel,Behind the Scenes,2025-06-11 18:00:00,Wednesday,18,13450,153.13,81
Client_10,E-commerce,Instagram,Case Study,Customer Success,2024-09-02 12:00:00,Monday,12,12204,296.09,78
Client_14,Health,LinkedIn,Blog Post,Trends,2024-05-28 09:00:00,Tuesday,9,11843,351.8,65
Client_12,FinTech,Facebook,Blog Post,Trends,2024-09-14 16:00:00,Saturday,16,13367,365.39,66
Client_12,Real Estate,LinkedIn,Reel,Customer Success,2026-03-22 19:00:00,Sunday,19,4245,141.81,82
Client_02,E-commerce,YouTube,Carousel,Education,2026-08-02 06:00:00,Sunday,6,7591,344.3,59
Client_03,SaaS,Facebook,Infographic,Customer Success,2024-12-15 16:00:00,Sunday,16,5366,418.27,65
Client_03,SaaS,X,Carousel,Promo,2025-06-28 11:00:00,Saturday,11,13456,72.51,62
Client_12,E-commerce,YouTube,Carousel,Trends,2025-09-28 01:00:00,Sunday,1,7318,460.18,60
Client_12,Real Estate,Facebook,Reel,Behind the Scenes,2026-03-23 00:00:00,Monday,0,9999999,63.28,76
Client_15,E-commerce,X,Reel,Promo,2026-09-10 07:00:00,Thursday,7,4292,210.19,81
Client_09,Health,X,Reel,Trends,2024-04-12 06:00:00,Friday,6,11389,57.12,77
Client_15,Health,Instagram,Reel,Customer Success,2025-05-08 05:00:00,Thursday,5,13154,84.72,90
Client_07,SaaS,LinkedIn,Blog Post,Promo,2025-08-07 23:00:00,Thursday,23,5563,460.03,70
Client_08,FinTech,Instagram,Reel,Trends,2026-11-23 12:00:00,Monday,12,3024,209.69,88
Client_11,Real Estate,Instagram,Blog Post,Education,2026-03-07 11:00:00,Saturday,11,14452,241.15,78
Client_10,SaaS,YouTube,Blog Post,Education,2025-04-01 21:00:00,Tuesday,21,9724,146.9,61
Client_11,FinTech,YouTube,Reel,Behind the Scenes,2026-10-19 10:00:00,Monday,10,7698,318.69,75
Client_09,FinTech,Facebook,Case Study,Trends,2025-02-10 18:00:00,Monday,18,5525,317.66,66
Client_06,Health,Instagram,Infographic,Education,2024-07-29 16:00:00,Monday,16,4066,217.49,72
Client_04,Fashion,Facebook,Carousel,Customer Success,2025-09-14 20:00:00,Sunday,20,4303,199.87,59
Client_12,Fashion,YouTube,Blog Post,Trends,2024-12-03 22:00:00,Tuesday,22,13588,448.23,64
Client_01,E-commerce,YouTube,Infographic,Customer Success,2025-07-27 21:00:00,Sunday,21,5209,222.48,63
Client_08,Health,X,Case Study,,2026-04-22 16:00:00,Wednesday,16,7655,272.08,73
Client_07,FinTech,YouTube,Carousel,Education,2025-12-26 12:00:00,Friday,12,2219,177.49,62
Client_02,Real Estate,Instagram,Carousel,Trends,2026-09-17 09:00:00,Thursday,9,8016,404.05,72
Client_08,Fashion,Facebook,Blog Post,Promo,2024-01-21 22:00:00,Sunday,22,6079,228.85,64
Client_12,FinTech,LinkedIn,Reel,,2024-10-14 22:00:00,Monday,22,9999999,281.12,78
Client_05,Fashion,Instagram,Case Study,Education,2025-06-12 13:00:00,Thursday,13,5218,164.01,79
Client_07,Fashion,Facebook,Blog Post,Trends,2026-11-26 06:00:00,Thursday,6,8895,494.45,64
Client_04,Fashion,Instagram,Case Study,Trends,2026-08-29 18:00:00,Saturday,18,5902,181.17,80
Client_05,Real Estate,YouTube,Reel,Customer Success,2026-05-19 16:00:00,Tuesday,16,6052,,79
Client_08,Health,LinkedIn,Reel,Trends,2024-01-09 14:00:00,Tuesday,14,3707,242.37,80
Client_01,Real Estate,Facebook,Blog Post,Customer Success,2026-06-15 14:00:00,Monday,14,5926,142.8,66
Client_01,SaaS,Instagram,Reel,Education,2026-07-20 17:00:00,Monday,17,8419,409.87,94
Client_15,FinTech,X,Infographic,Behind the Scenes,2026-10-01 09:00:00,Thursday,9,14012,200.12,59
Client_04,Health,YouTube,Carousel,Promo,2026-09-02 19:00:00,Wednesday,19,12722,439.34,60
Client_03,Health,Instagram,Blog Post,Education,2026-01-14 12:00:00,Wednesday,12,13267,461.87,74
Client_13,Health,LinkedIn,Case Study,Trends,2026-10-07 02:00:00,Wednesday,2,12808,436.92,75
Client_10,Health,X,Infographic,Promo,2025-10-25 22:00:00,Saturday,22,12977,65.75,69
Client_12,Real Estate,LinkedIn,Blog Post,Behind the Scenes,2025-12-19 15:00:00,Friday,15,14870,404.32,70
Client_02,Health,Instagram,Reel,,2026-03-09 22:00:00,Monday,22,10335,235.1,93
Client_12,E-commerce,LinkedIn,Reel,Customer Success,2026-09-18 08:00:00,Friday,8,14403,443.18,78
Client_03,FinTech,LinkedIn,Reel,,2024-12-30 19:00:00,Monday,19,9886,337.08,86
Client_11,Health,YouTube,Reel,Customer Success,2026-06-14 20:00:00,Sunday,20,13688,425.14,77
Client_15,FinTech,YouTube,Case Study,Education,2025-05-30 23:00:00,Friday,23,10180,274.74,68
Client_15,E-commerce,LinkedIn,Infographic,Promo,2026-07-22 11:00:00,Wednesday,11,3704,290.76,66
Client_11,E-commerce,Instagram,Carousel,Education,2026-01-25 21:00:00,Sunday,21,12349,114.97,69
Client_14,FinTech,YouTube,Case Study,Customer Success,2025-09-09 12:00:00,Tuesday,12,6845,402.79,71
Client_11,Fashion,LinkedIn,Case Study,Promo,2024-11-11 14:00:00,Monday,14,4776,238.73,75
Client_01,SaaS,Instagram,Carousel,Customer Success,2024-09-22 14:00:00,Sunday,14,2602,275.04,72
Client_01,Fashion,X,Carousel,Promo,2026-08-27 20:00:00,Thursday,20,6743,403.29,65
Client_06,Fashion,YouTube,Reel,Customer Success,2024-03-10 22:00:00,Sunday,22,8114,319.48,83
Client_05,Real Estate,YouTube,Case Study,Behind the Scenes,2026-03-28 18:00:00,Saturday,18,10933,140.49,69
Client_08,Fashion,Facebook,Blog Post,Customer Success,2026-05-25 20:00:00,Monday,20,10207,315.6,65
Client_02,Health,LinkedIn,Carousel,Behind the Scenes,2024-02-14 03:00:00,Wednesday,3,6723,233.43,69
Client_04,Real Estate,Facebook,Carousel,Customer Success,2026-08-18 12:00:00,Tuesday,12,10084,261.29,64
Client_08,Real Estate,LinkedIn,Infographic,Promo,2025-11-05 22:00:00,Wednesday,22,2130,62.74,67
Client_12,E-commerce,Instagram,Blog Post,Promo,2025-02-17 02:00:00,Monday,2,13408,144.51,79
Client_06,Fashion,LinkedIn,Blog Post,Promo,2026-03-25 05:00:00,Wednesday,5,11539,176.47,67
Client_01,E-commerce,LinkedIn,Carousel,Trends,2026-07-18 03:00:00,Saturday,3,12347,,64
Client_15,FinTech,YouTube,Reel,Education,2025-03-26 17:00:00,Wednesday,17,10671,55.17,76
Client_04,SaaS,Instagram,Infographic,Promo,2025-03-31 01:00:00,Monday,1,14221,233.95,76
Client_01,Real Estate,Instagram,Blog Post,Behind the Scenes,2025-02-11 21:00:00,Tuesday,21,13094,465.81,74
Client_13,FinTech,Instagram,Carousel,Promo,2025-11-10 16:00:00,Monday,16,13563,100.35,72
Client_02,FinTech,Instagram,Blog Post,Trends,2025-04-13 20:00:00,Sunday,20,8183,282.39,70
Client_05,Health,YouTube,Infographic,Behind the Scenes,2024-04-22 05:00:00,Monday,5,1777,403.94,61
Client_14,SaaS,Instagram,Infographic,Trends,2025-08-03 11:00:00,Sunday,11,1732,474.14,73
Client_08,FinTech,YouTube,Case Study,Behind the Scenes,2024-05-31 03:00:00,Friday,3,11244,386.05,71
Client_08,FinTech,LinkedIn,Carousel,Customer Success,2026-12-16 19:00:00,Wednesday,19,7190,374.25,67
Client_11,SaaS,LinkedIn,Infographic,Education,2025-11-04 05:00:00,Tuesday,5,14901,421.92,69
Client_03,SaaS,Facebook,Case Study,Education,2025-02-27 21:00:00,Thursday,21,9159,250.79,71
Client_11,FinTech,LinkedIn,Case Study,,2026-06-28 18:00:00,Sunday,18,12962,412.63,76
Client_13,SaaS,YouTube,Blog Post,Education,2026-01-21 23:00:00,Wednesday,23,12101,53.58,60
Client_04,FinTech,LinkedIn,Blog Post,,2026-12-23 17:00:00,Wednesday,17,13204,466.05,69
Client_10,FinTech,LinkedIn,Case Study,Trends,2025-03-02 06:00:00,Sunday,6,1525,249.49,71
Client_11,Health,X,Blog Post,Trends,2025-10-16 11:00:00,Thursday,11,8968,299.02,66
Client_14,Fashion,Instagram,Infographic,Education,2026-07-04 16:00:00,Saturday,16,7910,164.7,73
Client_06,FinTech,Instagram,Reel,Trends,2025-04-23 22:00:00,Wednesday,22,10152,384.14,91
Client_11,E-commerce,YouTube,Infographic,Education,2026-09-17 16:00:00,Thursday,16,5264,84.49,61
Client_11,Real Estate,Instagram,Case Study,,2024-02-24 10:00:00,Saturday,10,8099,,79
Client_10,Fashion,Facebook,Case Study,Promo,2024-10-09 08:00:00,Wednesday,8,13123,422.65,75
Client_03,Fashion,LinkedIn,Infographic,Trends,2026-07-16 00:00:00,Thursday,0,14879,147.23,70
Client_02,Fashion,X,Blog Post,Behind the Scenes,2025-01-29 18:00:00,Wednesday,18,6602,414.2,61
Client_06,Health,YouTube,Blog Post,Trends,2024-11-09 14:00:00,Saturday,14,8506,403.86,66
Client_11,FinTech,YouTube,Case Study,Customer Success,2026-11-19 13:00:00,Thursday,13,4983,334.5,68
Client_13,Health,X,Carousel,Trends,2026-07-03 23:00:00,Friday,23,3494,218.08,62
Client_15,FinTech,LinkedIn,Blog Post,Behind the Scenes,2024-08-18 10:00:00,Sunday,10,10182,172.17,74
Client_05,Health,X,Infographic,Behind the Scenes,2026-05-16 13:00:00,Saturday,13,2572,154.3,57
Client_14,Health,Instagram,Blog Post,Education,2024-06-05 04:00:00,Wednesday,4,8207,193.37,72
Client_10,Real Estate,LinkedIn,Infographic,Promo,2025-07-18 09:00:00,Friday,9,12865,456.6,70
Client_05,E-commerce,Instagram,Case Study,,2024-01-28 15:00:00,Sunday,15,1715,84.94,80
Client_10,Health,LinkedIn,Blog Post,Education,2024-03-24 06:00:00,Sunday,6,9105,422.99,64
Client_13,Real Estate,Instagram,Infographic,Promo,2024-11-29 02:00:00,Friday,2,11415,207.0,69
Client_05,SaaS,Facebook,Case Study,Trends,2026-01-14 23:00:00,Wednesday,23,11284,284.72,74
Client_10,E-commerce,Facebook,Carousel,Customer Success,2024-05-17 16:00:00,Friday,16,4106,407.52,60
Client_12,Health,X,Infographic,,2026-04-19 11:00:00,Sunday,11,9850,447.97,61
Client_05,Fashion,Instagram,Carousel,Behind the Scenes,2026-06-19 16:00:00,Friday,16,6281,205.15,77
Client_03,SaaS,YouTube,Carousel,Behind the Scenes,2026-01-29 21:00:00,Thursday,21,4813,257.83,62
Client_07,SaaS,LinkedIn,Reel,Customer Success,2025-07-29 08:00:00,Tuesday,8,12533,236.53,84
Client_06,Real Estate,Instagram,Blog Post,Education,2024-10-01 09:00:00,Tuesday,9,11468,55.96,73
Client_04,SaaS,LinkedIn,Infographic,Promo,2026-01-06 11:00:00,Tuesday,11,11744,183.17,65
Client_02,E-commerce,LinkedIn,Carousel,Trends,2026-04-11 21:00:00,Saturday,21,9263,256.64,70
Client_12,Health,YouTube,Reel,Behind the Scenes,2025-04-30 09:00:00,Wednesday,9,7439,234.99,79
Client_09,Health,LinkedIn,Case Study,Education,2026-09-24 10:00:00,Thursday,10,3795,374.87,74
Client_01,Fashion,LinkedIn,Infographic,Customer Success,2026-09-13 00:00:00,Sunday,0,7185,223.16,67
Client_13,Real Estate,Instagram,Carousel,,2024-03-09 04:00:00,Saturday,4,3196,270.22,71
Client_13,Fashion,Instagram,Blog Post,Customer Success,2026-04-16 16:00:00,Thursday,16,12685,243.32,76
Client_11,SaaS,Instagram,Reel,,2025-12-12 18:00:00,Friday,18,12161,383.28,88
Client_15,Fashion,X,Carousel,Promo,2024-07-16 09:00:00,Tuesday,9,3446,438.34,62
Client_14,E-commerce,Instagram,Blog Post,Behind the Scenes,2025-08-29 11:00:00,Friday,11,13501,289.35,75
Client_04,Health,Instagram,Carousel,Behind the Scenes,2025-08-01 05:00:00,Friday,5,4283,405.24,73
Client_01,SaaS,Instagram,Infographic,Trends,2024-02-05 14:00:00,Monday,14,5144,183.55,77
Client_13,Fashion,Facebook,Infographic,Education,2026-10-19 20:00:00,Monday,20,6741,,57
Client_06,Real Estate,X,Infographic,Promo,2024-08-31 23:00:00,Saturday,23,7920,205.35,64
Client_04,E-commerce,YouTube,Reel,Behind the Scenes,2024-11-04 00:00:00,Monday,0,12192,236.39,76
Client_05,E-commerce,YouTube,Infographic,Promo,2026-08-12 16:00:00,Wednesday,16,9057,379.59,60
Client_05,Fashion,LinkedIn,Blog Post,Behind the Scenes,2025-08-04 05:00:00,Monday,5,13337,446.75,67
Client_09,Health,Instagram,Carousel,Promo,2026-06-20 09:00:00,Saturday,9,4145,104.67,72
Client_01,Fashion,X,Case Study,Customer Success,2026-06-17 04:00:00,Wednesday,4,8089,335.59,70
Client_13,SaaS,YouTube,Blog Post,Behind the Scenes,2026-01-23 19:00:00,Friday,19,7853,,58
Client_02,Fashion,YouTube,Blog Post,Promo,2024-08-29 07:00:00,Thursday,7,12041,103.29,62
Client_13,E-commerce,YouTube,Infographic,Education,2026-07-02 07:00:00,Thursday,7,3432,145.35,63
Client_06,Fashion,YouTube,Reel,Customer Success,2024-07-24 11:00:00,Wednesday,11,12986,189.95,76
Client_05,Health,YouTube,Carousel,Customer Success,2026-04-08 22:00:00,Wednesday,22,3257,125.12,58
Client_11,Real Estate,X,Reel,Education,2024-01-09 10:00:00,Tuesday,10,6585,159.68,71
Client_07,FinTech,X,Carousel,Promo,2025-04-21 23:00:00,Monday,23,7137,170.42,61
Client_03,Fashion,YouTube,Carousel,Trends,2026-05-08 10:00:00,Friday,10,2616,,58
Client_03,Health,YouTube,Reel,,2025-06-12 16:00:00,Thursday,16,12259,387.23,76
Client_10,Health,Instagram,Blog Post,Promo,2026-11-21 22:00:00,Saturday,22,13191,,73
Client_02,Real Estate,YouTube,Carousel,Education,2024-07-01 21:00:00,Monday,21,1992,493.81,59
Client_13,E-commerce,Instagram,Reel,Education,2024-04-06 23:00:00,Saturday,23,12998,236.63,85
Client_03,Health,LinkedIn,Carousel,,2024-11-29 12:00:00,Friday,12,10311,389.24,62
Client_10,Health,X,Case Study,,2026-03-15 19:00:00,Sunday,19,12924,442.16,72
Client_01,Health,LinkedIn,Blog Post,Trends,2024-11-20 01:00:00,Wednesday,1,9388,355.54,70
Client_05,Health,LinkedIn,Infographic,Behind the Scenes,2024-01-09 05:00:00,Tuesday,5,13515,235.34,68
Client_14,SaaS,Instagram,Carousel,Education,2026-09-06 13:00:00,Sunday,13,7974,389.12,72
